#Example Data

Timestamp,Sensor1,Sensor2
2025-03-30 22:59:12,513,512
2025-03-30 22:59:13,512,511
2025-03-30 22:59:14,513,511
2025-03-30 22:59:15,513,511
2025-03-30 22:59:16,512,511
2025-03-30 22:59:17,513,511
2025-03-30 22:59:18,513,511
2025-03-30 22:59:19,513,512
2025-03-30 22:59:20,513,511
2025-03-30 22:59:21,513,511
2025-03-30 22:59:22,513,511
2025-03-30 22:59:23,512,511
2025-03-30 22:59:24,513,512
2025-03-30 22:59:25,513,511
2025-03-30 22:59:26,513,511
2025-03-30 22:59:27,513,511
2025-03-30 22:59:28,513,511
2025-03-30 22:59:29,513,511
2025-03-30 22:59:30,513,512
2025-03-30 22:59:31,513,511
2025-03-30 22:59:32,514,511
